rssd,name,report_date,drawn,undrawn,ead_basel,ead_us,rwa_reported,cet1,cet1_ratio_reported,card_rwa_us,card_rwa_45,card_rwa_75,card_rwa_100,cet1_ratio_basel_45,cet1_ratio_basel_75,cet1_ratio_basel_100,cet1_ratio_offbs_only,meets_minimum_75,meets_buffer_75,capital_status,outflow_30d,liquid,liquidity_cover,dq30_rate,dq90_rate,nco_rate,yield_rate,allowance_to_cards,notes
1218446,BANKERS' BANK OF KANSAS,2025-03-31,24491.0,206536.0,45144.600000000006,24491.0,156881.0,35530.0,0.22647739369330894,24491.0,20315.070000000003,33858.450000000004,45144.600000000006,0.23267072926917226,0.21371627825703035,0.2001300028276178,0.20612492110050865,True,True,above buffer,10326.800000000001,79804.0,7.727853739783862,0.00873790371973378,0.014290964027601976,0.008683542229868108,0.023224379454411404,0.11910497733861418,
1218446,BANKERS' BANK OF KANSAS,2025-06-30,24767.0,208466.0,45613.600000000006,24767.0,165301.0,35824.0,0.21671980205806377,24767.0,20526.120000000003,34210.200000000004,45613.600000000006,0.22242625921301934,0.20500823489420533,0.19244943260079636,0.19799271510166994,True,True,above buffer,10423.300000000001,66845.0,6.413036178561492,0.014091331206847822,0.013566439213469537,0.01658231494054232,0.04727811381310949,0.12815439899866757,
1218446,BANKERS' BANK OF KANSAS,2025-09-30,24445.0,197055.0,44150.5,24445.0,170566.0,36279.0,0.21269772404816903,24445.0,19867.725000000002,33112.875,44150.5,0.21856303794128185,0.20241151400649013,0.19066964837088055,0.1957375463746349,True,True,above buffer,9852.75,39281.0,3.986805714140722,0.01476784618531397,0.01624053998772755,0.023098660769136258,0.07089323012655117,0.1400286357128247,
1218446,BANKERS' BANK OF KANSAS,2025-12-31,25580.0,198903.0,45470.3,25580.0,180415.0,36460.0,0.20208962669401104,25580.0,20461.635000000002,34102.725000000006,45470.3,0.20799030169632177,0.1929736372130023,0.18202214319840765,0.18665587141120363,True,True,above buffer,9945.150000000001,48447.0,4.871419737258864,0.015989053948397187,0.013330727130570758,0.03457032850004096,0.09482264274596543,0.11121970289288506,
1391778,COMENITY BANK,2023-03-31,7519512.0,54509438.0,12970455.8,7519512.0,7738916.0,1416151.0,0.18299087365724087,7519512.0,5836705.11,9727841.850000001,12970455.8,0.23383842237280958,0.14236614047294305,0.10736664539830817,0.11973756409086726,True,True,above buffer,2725471.9000000004,1389648.0,0.5098742716811719,0.031882122137713194,0.038387464505675366,0.017696538874202687,0.06934940883485946,0.1267005092883687,
1391778,COMENITY BANK,2023-06-30,7338886.0,53407972.0,12679683.2,7338886.0,7507886.0,1408015.0,0.18753814322700157,7338886.0,5705857.4399999995,9509762.399999999,12679683.2,0.23966794332970234,0.1454746941613114,0.10958438137847465,0.12229269717396313,True,True,above buffer,2670398.6,1404929.0,0.5261120942768619,0.034686054531982105,0.033683177528578585,0.03603557423687111,0.14019758067600283,0.12677646171367152,
1391778,COMENITY BANK,2023-09-30,7210037.0,51605915.0,12370628.5,7210037.0,7352624.0,1491720.0,0.20288267154691986,7210037.0,5566782.825,9277971.375,12370628.5,0.26127577048312856,0.15834730178613218,0.11921156476526756,0.13291553163923844,True,True,above buffer,2580295.75,1344622.0,0.5211115818797128,0.037287603378457004,0.04052836344667857,0.052945840289657924,0.21651654746446264,0.12674206803654406,
1391778,COMENITY BANK,2023-12-31,7625309.0,51958818.0,12821190.8,7625309.0,7756999.0,1529878.0,0.1972254991911176,7625309.0,5769535.86,9615893.100000001,12821190.8,0.25924749133394465,0.15694946986397065,0.11811102283902743,0.13127593692189332,True,True,above buffer,2597940.9000000004,1372660.0,0.5283645982862812,0.036768477185645854,0.04089985074703202,0.07059808126552186,0.2835092454600351,0.1205220667123129,
1391778,COMENITY BANK,2024-03-31,7081742.0,51587340.0,12240476.0,7081742.0,7411111.0,1350764.0,0.18226201172806614,7081742.0,5508214.2,9180357.0,12240476.0,0.23139096330138814,0.1420402648825003,0.1074606727449702,0.1197468670993762,True,True,above buffer,2579367.0,1287888.0,0.499303898979866,0.03387584580178154,0.04124606629272854,0.01874631149739793,0.065897177960191,0.12720980233394552,
1391778,COMENITY BANK,2024-06-30,6768126.0,46808076.0,11448933.600000001,6768126.0,7049475.0,1271075.0,0.18030775341426133,6768126.0,5152020.120000001,8586700.200000001,11448933.600000001,0.2339386432114886,0.14333197429712047,0.10835842948915825,0.12036603091489634,True,True,above buffer,2340403.8000000003,1268804.0,0.5421303793815409,0.03616451584973448,0.037432665999421404,0.03874382355262127,0.13521958804935974,0.1262885767788602,
