rssd,cert,name,city,state,total_assets_k,total_loans_k,total_equity_k,credit_card_loans_k,other_revolving_k,unused_card_lines_k,unused_revolving_k,card_exposure_k,card_share_of_loans,utilisation,allowance_k,cet1_k,tier1_k,rwa_k,cet1_ratio,tier1_rbc_ratio_pct,leverage_ratio_pct,net_income_ytd_k,card_net_chargeoffs_ytd_k
474759,4767,"SUNFLOWER BANK, NATIONAL ASSOCIATION",DALLAS,TX,8473383.0,6773719.0,1111067.0,4286.0,10083.0,111354.0,25515.0,115640.0,0.0006327395630081495,0.03706329989622968,85016.0,1034444.0,1034444.0,7538323.0,0.13722468511895816,,,107112.0,145.0
773247,1040,MIDLAND STATES BANK,EFFINGHAM,IL,6502519.0,4359785.0,610247.0,0.0,1038.0,115596.0,75539.0,115596.0,,,69219.0,655751.0,655751.0,5026125.0,0.1304685020766495,,,-114457.0,0.0
58243,20296,JOHNSON BANK,RACINE,WI,7187696.0,5275069.0,863340.0,18139.0,61840.0,91313.0,721124.0,109452.0,0.0034386280065720467,0.1657256148814092,76743.0,856461.0,856461.0,5476737.0,0.15638161920136023,,,74892.0,305.0
100562,21943,TRI COUNTIES BANK,CHICO,CA,9820725.0,7113782.0,1362147.0,0.0,587.0,108826.0,596900.0,108826.0,,,125762.0,1145890.0,1145890.0,8349601.0,0.13723889321178342,,,124394.0,0.0
944355,25894,FIRST NATIONAL BANK,OLDHAM,SD,462466.0,358397.0,70728.0,63134.0,29.0,44279.0,462.0,107413.0,0.1761566084537538,0.5877687058363513,24637.0,64751.0,74029.0,381293.0,0.1698195351081714,,,9485.0,20532.0
408642,23537,BANKERS' BANK,MADISON,WI,1420052.0,1108074.0,188638.0,13542.0,0.0,87284.0,0.0,100826.0,0.01222120544295778,0.1343105944895166,14129.0,199558.0,199558.0,1272345.0,0.15684268024788875,,,11534.0,264.0
317342,258,STOCK YARDS BANK & TRUST COMPANY,LOUISVILLE,KY,9533246.0,7047557.0,1074255.0,3569.0,77663.0,90673.0,429070.0,94242.0,0.0005064166206814645,0.03787058848496424,91867.0,931912.0,931912.0,7882089.0,0.11823160078502032,,,144390.0,242.0
399517,13876,CNB BANK,CLEARFIELD,PA,8372231.0,6486290.0,932937.0,13276.0,48953.0,80373.0,404784.0,93649.0,0.002046778667003788,0.14176339309549488,64887.0,849781.0,857160.0,6370809.0,0.1333866703585055,,,73449.0,455.0
731247,14650,HILLS BANK AND TRUST COMPANY,HILLS,IA,4646755.0,3573070.0,602537.0,12176.0,0.0,80910.0,93895.0,93086.0,0.0034077138147307496,0.13080377285520917,58204.0,601341.0,601341.0,,,,,61441.0,245.0
577128,6544,PEOPLES BANK,MARIETTA,OH,9637101.0,6759576.0,1184257.0,6299.0,898.0,86635.0,272977.0,92934.0,0.0009318631819510573,0.06777928422321217,75676.0,870013.0,870013.0,7263855.0,0.11977290295579963,,,120457.0,381.0
673440,5633,FIRST SECURITY BANK,SEARCY,AR,8360743.0,4500545.0,1189776.0,11975.0,2918.0,79144.0,107076.0,91119.0,0.0026607888600158427,0.13142154764648425,111715.0,1347998.0,1347998.0,6488503.0,0.20775177263538291,,,148348.0,81.0
236153,10248,FIRST INTERNATIONAL BANK AND TRUST,WATFORD CITY,ND,6161111.0,4729502.0,510926.0,15472.0,999.0,75421.0,125313.0,90893.0,0.003271380369434245,0.1702221293168891,51764.0,542421.0,542421.0,4942642.0,0.1097431292818699,,,95774.0,147.0
256553,17437,DACOTAH BANK,ABERDEEN,SD,4835143.0,3967609.0,462083.0,13194.0,2450.0,72868.0,35312.0,86062.0,0.0033254284885430997,0.15330808022123585,43897.0,472801.0,472801.0,4224930.0,0.1119074162175468,,,47064.0,26.0
114260,16130,FIRST NATIONAL BANK ALASKA,ANCHORAGE,AK,5099945.0,2718111.0,569246.0,1690.0,7730.0,80447.0,57972.0,82137.0,0.0006217553293445337,0.020575380157541668,21450.0,593748.0,593748.0,3239975.0,0.18325696957538254,,,77539.0,104.0
353555,14531,AMARILLO NATIONAL BANK,AMARILLO,TX,9551998.0,7093817.0,1077040.0,9942.0,945.0,66408.0,64334.0,76350.0,0.0014015021814067095,0.13021611001964636,91320.0,1042780.0,1042780.0,8267195.0,0.12613468050529836,,,172653.0,376.0
